iter	Passed	Remaining
0	135	135645
1	137	68382
2	138	46009
3	139	34760
4	141	28073
5	142	23560
6	143	20324
7	144	17897
8	145	16016
9	146	14496
10	147	13270
11	148	12239
12	149	11364
13	150	10611
14	151	9955
15	152	9376
16	153	8878
17	154	8425
18	155	8021
19	156	7656
20	157	7320
21	157	7022
22	158	6749
23	159	6504
24	160	6278
25	161	6067
26	162	5873
27	164	5693
28	165	5526
29	166	5368
30	166	5217
31	167	5076
32	168	4943
33	169	4817
34	170	4701
35	171	4590
36	172	4487
37	173	4388
38	174	4294
39	175	4202
40	175	4115
41	176	4036
42	177	3959
43	178	3886
44	179	3812
45	180	3747
46	181	3682
47	182	3621
48	183	3559
49	184	3502
50	185	3446
51	186	3393
52	186	3340
53	187	3291
54	188	3245
55	189	3199
56	190	3155
57	191	3114
58	192	3073
59	193	3032
60	194	2992
61	195	2952
62	196	2916
63	197	2882
64	198	2849
65	198	2815
66	199	2782
67	200	2744
68	201	2714
69	202	2684
70	202	2655
71	203	2627
72	204	2600
73	205	2576
74	207	2557
75	208	2532
76	209	2507
77	210	2482
78	210	2458
79	211	2435
80	212	2413
81	213	2389
82	214	2367
83	215	2346
84	215	2323
85	216	2302
86	217	2280
87	218	2261
88	219	2243
89	220	2225
90	221	2207
91	221	2189
92	222	2172
93	223	2155
94	224	2138
95	225	2121
96	226	2105
97	227	2089
98	227	2073
99	228	2058
100	229	2043
101	230	2025
102	230	2010
103	231	1996
104	232	1982
105	233	1969
106	234	1956
107	235	1943
108	236	1931
109	237	1918
110	238	1907
111	239	1895
112	239	1883
113	240	1871
114	241	1860
115	242	1847
116	243	1836
117	244	1825
118	244	1813
119	245	1803
120	246	1792
121	247	1781
122	248	1768
123	248	1758
124	249	1748
125	250	1739
126	251	1730
127	252	1719
128	253	1710
129	254	1702
130	255	1693
131	256	1685
132	257	1677
133	258	1669
134	259	1661
135	260	1653
136	261	1645
137	262	1636
138	263	1629
139	263	1620
140	264	1614
141	265	1606
142	266	1599
143	267	1592
144	268	1584
145	269	1577
146	270	1570
147	271	1564
148	272	1557
149	273	1550
150	274	1543
151	275	1537
152	276	1529
153	277	1524
154	278	1518
155	279	1511
