iter	Passed	Remaining
0	132	132524
1	133	66568
2	133	44526
3	134	33503
4	134	26864
5	135	22452
6	135	19289
7	136	16940
8	137	15094
9	137	13628
10	138	12421
11	138	11419
12	139	10582
13	139	9859
14	140	9229
15	141	8683
16	141	8201
17	142	7765
18	142	7378
19	143	7028
20	144	6714
21	144	6425
22	145	6165
23	145	5924
24	146	5699
25	146	5492
26	147	5299
27	147	5125
28	148	4959
29	148	4807
30	149	4664
31	149	4533
32	150	4408
33	150	4288
34	151	4174
35	151	4067
36	152	3967
37	152	3871
38	153	3781
39	154	3696
40	154	3614
41	155	3539
42	155	3468
43	156	3397
44	156	3331
45	157	3268
46	158	3206
47	158	3148
48	159	3095
49	159	3039
50	160	2985
51	160	2934
52	161	2886
53	162	2840
54	162	2794
55	163	2753
56	163	2711
57	164	2670
58	164	2630
59	165	2591
60	165	2554
61	166	2519
62	167	2483
63	167	2451
64	168	2419
65	168	2388
66	169	2361
67	170	2331
68	170	2302
69	171	2274
70	171	2248
71	172	2221
72	172	2195
73	173	2170
74	173	2145
75	174	2121
76	174	2097
77	175	2073
78	175	2051
79	176	2029
80	177	2008
81	177	1989
82	177	1966
83	178	1946
84	178	1926
85	179	1906
86	179	1888
87	180	1870
88	180	1852
89	181	1835
90	182	1818
91	182	1801
92	182	1784
93	183	1770
94	184	1756
95	184	1742
96	185	1727
97	186	1713
98	186	1699
99	187	1684
100	187	1670
101	188	1656
102	188	1643
103	189	1630
104	189	1617
105	190	1604
106	190	1591
107	191	1579
108	191	1567
109	192	1556
110	192	1544
111	193	1533
112	193	1521
113	194	1510
114	194	1499
115	195	1488
116	195	1478
117	196	1467
118	196	1458
119	197	1448
120	198	1439
121	198	1431
122	199	1423
123	200	1414
124	200	1405
125	201	1395
126	201	1386
127	202	1377
128	202	1368
129	203	1360
130	203	1351
131	204	1342
132	204	1334
133	205	1326
134	205	1318
135	206	1310
136	206	1303
137	207	1294
138	207	1287
139	208	1279
140	208	1272
141	209	1263
142	209	1256
143	210	1249
144	210	1242
145	211	1235
146	211	1228
147	212	1221
148	212	1214
149	213	1208
150	214	1203
151	214	1197
152	215	1191
153	215	1185
154	216	1179
155	216	1172
156	217	1166
157	217	1160
158	218	1154
159	218	1148
160	219	1141
161	219	1136
162	220	1130
163	220	1124
164	221	1119
165	221	1113
166	222	1108
167	222	1102
168	223	1097
169	223	1092
170	224	1087
171	225	1084
172	225	1079
173	226	1074
174	226	1069
175	227	1064
176	227	1059
177	228	1055
178	229	1051
179	229	1046
180	230	1041
181	230	1037
182	231	1032
183	231	1027
184	232	1023
185	232	1018
186	233	1013
187	233	1009
188	234	1005
189	234	1000
190	235	996
191	235	992
192	236	987
193	236	983
194	237	979
195	237	975
196	238	970
197	238	966
198	239	962
199	239	958
200	240	954
201	240	950
202	241	946
203	241	942
204	241	938
205	242	934
206	243	931
207	243	928
208	244	925
209	244	921
210	245	917
211	245	914
212	246	910
213	246	906
214	247	903
215	247	899
216	248	896
217	248	892
218	249	889
219	249	885
220	250	882
221	250	879
222	251	875
223	251	872
224	252	869
225	252	865
226	253	862
227	253	859
228	254	855
229	254	852
230	255	849
231	255	846
232	256	842
233	256	839
234	257	836
235	257	833
236	258	831
237	258	828
238	259	826
239	259	823
240	260	820
241	261	817
242	261	815
243	262	812
244	262	809
245	263	806
246	263	803
247	264	800
248	264	798
249	265	795
250	265	792
251	266	789
252	266	786
253	266	784
254	267	781
255	267	778
256	268	776
257	268	773
258	269	770
259	270	768
260	270	765
261	271	763
262	271	760
263	271	758
264	272	755
265	273	753
266	273	751
267	274	749
268	274	747
269	275	744
270	275	742
271	276	739
272	276	737
273	277	734
274	277	732
275	278	730
276	278	727
277	279	725
278	279	723
279	280	720
280	280	718
281	281	716
282	281	713
283	282	711
284	282	708
285	283	706
286	283	704
287	284	702
288	284	699
289	285	697
290	285	695
291	285	693
292	286	691
293	286	688
294	287	686
295	287	684
296	288	683
297	289	681
298	289	679
299	290	677
300	290	675
301	291	673
302	291	671
303	292	669
304	292	667
305	293	665
306	293	663
307	294	661
308	294	659
309	295	657
310	295	655
311	296	653
312	296	651
313	297	649
314	297	647
315	298	645
316	298	643
317	299	641
318	299	639
319	300	637
320	300	635
321	301	633
322	301	631
323	302	630
324	302	628
325	303	626
326	303	625
327	304	623
328	304	621
329	305	620
330	305	618
331	306	616
332	306	614
333	307	612
334	307	611
335	308	609
336	308	607
337	309	605
338	309	604
339	310	602
340	310	600
341	311	598
342	311	597
343	312	595
344	312	593
345	313	591
346	313	590
347	314	588
348	314	586
349	314	584
350	315	583
351	315	581
352	316	579
353	316	578
354	317	576
355	317	574
356	318	573
357	319	572
358	319	570
359	320	569
360	320	567
361	321	566
362	321	564
363	322	563
364	322	561
365	323	560
366	323	558
367	324	556
368	324	555
369	325	553
370	325	552
371	326	550
372	326	549
373	327	547
374	327	546
375	328	544
376	328	543
377	329	541
378	329	540
379	330	538
380	330	537
381	331	535
382	331	534
383	332	532
384	332	531
385	333	530
386	333	529
387	334	527
388	335	526
389	335	524
390	336	523
391	336	522
392	337	520
393	337	519
394	338	517
395	338	516
396	339	515
397	339	513
398	340	512
399	340	510
400	341	509
401	341	508
402	342	506
403	342	505
404	343	504
405	343	502
406	344	501
407	344	499
408	345	498
409	345	497
410	346	495
411	346	494
412	346	493
413	347	491
414	347	490
415	348	489
416	349	488
417	349	487
418	350	485
419	350	484
420	351	483
421	351	481
422	352	480
423	352	479
424	353	477
425	353	476
426	354	475
427	354	474
428	355	472
429	355	471
430	356	470
431	356	468
432	357	467
433	357	466
434	358	465
435	358	463
436	359	462
437	359	461
438	360	460
439	360	458
440	361	457
441	361	456
442	362	455
443	362	453
444	363	452
445	363	451
446	364	450
447	365	449
448	365	448
449	366	447
450	366	446
451	367	445
452	367	444
453	368	443
454	368	441
455	369	440
456	369	439
457	370	438
458	371	437
459	371	436
460	372	435
461	372	433
462	373	432
463	373	431
464	374	430
465	374	429
466	375	428
467	375	426
468	376	425
469	376	424
470	377	423
471	377	422
472	378	421
473	378	420
474	379	419
475	380	418
476	380	417
477	381	416
478	381	414
479	382	413
480	382	412
481	383	411
482	383	410
483	384	409
484	384	408
485	384	407
486	385	405
487	385	404
488	386	403
489	386	402
490	387	401
491	387	400
492	388	399
493	388	398
494	389	397
495	389	395
496	390	394
497	390	393
498	391	392
499	391	391
500	392	390
501	392	389
502	393	388
